provinsi,avg-total,cluster
ACEH,7.03,1
SUMATERA UTARA,5.95,1
SUMATERA BARAT,6.05,1
RIAU,5.53,1
JAMBI,4.13,0
SUMATERA SELATAN,4.59,0
BENGKULU,3.34,0
LAMPUNG,4.49,0
KEPULAUAN BANGKA BELITUNG,4.16,0
KEPULAUAN RIAU,7.55,1
DKI JAKARTA,7.43,1
JAWA BARAT,8.53,1
JAWA TENGAH,5.1,0
DI YOGYAKARTA,3.47,0
JAWA TIMUR,4.4,0
BANTEN,8.68,1
BALI,2.54,0
NUSA TENGGARA BARAT,4.0,0
NUSA TENGGARA TIMUR,3.17,0
KALIMANTAN BARAT,4.5,0
KALIMANTAN TENGAH,3.71,0
KALIMANTAN SELATAN,4.23,0
KALIMANTAN TIMUR,7.15,1
KALIMANTAN UTARA,4.02,0
SULAWESI UTARA,6.83,1
SULAWESI TENGAH,3.38,0
SULAWESI SELATAN,5.32,0
SULAWESI TENGGARA,3.58,0
GORONTALO,3.53,0
SULAWESI BARAT,2.63,0
MALUKU,7.4,1
MALUKU UTARA,4.79,0
PAPUA BARAT,5.91,1
PAPUA,3.39,0
